the_geom,OBJECTID,CNN,STREETNAME,CNNTEXT,LAYER
"LINESTRING (-122.48321590634626 37.73445508639839, -122.4836746336303 37.73443274533664, -122.48377525158789 37.73434210997447)",15908,11954203,SLOAT BLVD,11954203,STREETS
"LINESTRING (-122.48235078545787 37.73449721467025, -122.48321590634626 37.73445508639839)",15907,11954202,SLOAT BLVD,11954202,STREETS
"LINESTRING (-122.48201408166274 37.734419840801685, -122.48210970635344 37.73450895338501, -122.48235078545787 37.73449721467025)",15906,11954201,SLOAT BLVD,11954201,STREETS
"LINESTRING (-122.48288934370876 37.73430488521005, -122.48366562671042 37.73427119798929, -122.48377525158789 37.73434210997447)",12491,11954102,SLOAT BLVD,11954102,STREETS
"LINESTRING (-122.48201408166274 37.734419840801685, -122.48209963347055 37.734340653994366, -122.48288934370876 37.73430488521005)",12490,11954101,SLOAT BLVD,11954101,STREETS
"LINESTRING (-122.48148662490965 37.7345365646598, -122.48189684073411 37.73451884188258, -122.48201408166274 37.734419840801685)",15905,11953202,SLOAT BLVD,11953202,STREETS
"LINESTRING (-122.47945964796544 37.73453253630842, -122.47970278261144 37.73461361557932, -122.48148662490965 37.7345365646598)",15904,11953201,SLOAT BLVD,11953201,STREETS
"LINESTRING (-122.48112986546951 37.73438841578818, -122.48192116000735 37.73435354353404, -122.48201408166274 37.734419840801685)",12492,11953103,SLOAT BLVD,11953103,STREETS
"LINESTRING (-122.48024635761527 37.73442734582703, -122.48112986546951 37.73438841578818)",12493,11953102,SLOAT BLVD,11953102,STREETS
"LINESTRING (-122.47945964796544 37.73453253630842, -122.47953954168393 37.73445848551403, -122.48024635761527 37.73442734582703)",12494,11953101,SLOAT BLVD,11953101,STREETS
"LINESTRING (-122.4770808292419 37.7346176628269, -122.4771860074692 37.73470568667258, -122.47936906363653 37.73462869434715, -122.47945964796544 37.73453253630842)",15903,11952201,SLOAT BLVD,11952201,STREETS
"LINESTRING (-122.47797779520059 37.734512156700326, -122.47929133938253 37.73446640996798, -122.47945964796544 37.73453253630842)",12496,11952102,SLOAT BLVD,11952102,STREETS
"LINESTRING (-122.4770808292419 37.7346176628269, -122.47717877511525 37.734539976751506, -122.47797779520059 37.734512156700326)",12495,11952101,SLOAT BLVD,11952101,STREETS
"LINESTRING (-122.47510247060907 37.73462557198665, -122.47530760946495 37.7347179785084, -122.4763921623626 37.73472769366691, -122.47697044148205 37.734713699125585, -122.4770808292419 37.7346176628269)",15902,11951201,SLOAT BLVD,11951201,STREETS
"LINESTRING (-122.47615980567984 37.73455352021709, -122.47696300167999 37.73453567471745, -122.4770808292419 37.7346176628269)",12498,11951102,SLOAT BLVD,11951102,STREETS
"LINESTRING (-122.47510247060907 37.73462557198665, -122.47526044085147 37.73454619702228, -122.47615980567984 37.73455352021709)",12497,11951101,SLOAT BLVD,11951101,STREETS
"LINESTRING (-122.49835701804092 37.71369412592698, -122.49824658917592 37.71206666533629, -122.49817436654838 37.710757721660755, -122.49816057200843 37.71009143606614, -122.49817698773798 37.70963047483234, -122.49820407503364 37.70910725427851, -122.49825067425529 37.70854449614274, -122.49829376722427 37.70819717089174, -122.49820746660345 37.70810534275552)",14101,11944202,SKYLINE BLVD,11944202,STREETS
"LINESTRING (-122.50022095409246 37.71895555874156, -122.5003147938791 37.71884083122338, -122.50029884354447 37.71841276971067, -122.50027201343902 37.71821066104504, -122.5002293658327 37.718002281202004, -122.50015730687595 37.71777153012783, -122.50003097976608 37.7175122950069, -122.49990553186329 37.71728571727589, -122.49961105809201 37.71689537911103, -122.49925697662412 37.71643090498651, -122.49897117609156 37.71605675470828, -122.49880862410842 37.71582753798309, -122.49871355901827 37.71565925435313, -122.4986136780793 37.71546491391038, -122.49852963714564 37.71524743399618, -122.49848340916547 37.715058717917586, -122.49844173348293 37.714886260395986, -122.49842045050002 37.71470692287565, -122.49837216465478 37.7139824119506, -122.49835701804092 37.71369412592698)",14102,11944201,SKYLINE BLVD,11944201,STREETS
"LINESTRING (-122.44264789727471 37.79900005056879, -122.4427258795209 37.79904449245569, -122.44426253873121 37.79884952656375, -122.44431861960723 37.79879024582157)",11458,8464201,LOMBARD ST,8464201,STREETS
"LINESTRING (-122.44264789727471 37.79900005056879, -122.44269682666989 37.798945874364826, -122.44424402433428 37.798749054774774, -122.44431861960723 37.79879024582157)",11457,8464101,LOMBARD ST,8464101,STREETS
"LINESTRING (-122.50022095409246 37.71895555874156, -122.50016668363469 37.7188456103244, -122.50014103334112 37.718400799186014, -122.50003686498447 37.71803138479045, -122.49990553738265 37.717697871458284, -122.49969394166773 37.717346716716406, -122.49902320417966 37.71643956004192, -122.49873949412789 37.71607695808304, -122.49858997230946 37.71585777805362, -122.49845023450715 37.71560675820312, -122.49830268340511 37.7152629608882, -122.49819308276484 37.71484672503603, -122.4981716849265 37.71464437540334, -122.49812082499162 37.713840722175796, -122.49806441460025 37.7129294723667, -122.49799520795987 37.71183895342799, -122.49793336215977 37.710824327262245, -122.4979125927096 37.70995259227851, -122.4979897202461 37.70896305879645, -122.4980833784074 37.70819285039437, -122.49820746660345 37.70810534275552)",14104,11944101,SKYLINE BLVD,11944101,STREETS
"LINESTRING (-122.50304063635033 37.72525954982547, -122.50308609288699 37.725115650467075, -122.5030976669836 37.72497836592409, -122.50309376633469 37.7247133234738, -122.5030735912285 37.72444598435626, -122.50300547771933 37.72408422655344, -122.50288351703378 37.72376971415641, -122.50266058574033 37.72331792924907, -122.50237367063332 37.7228981176154, -122.50146788112569 37.72189168427185, -122.50131036527844 37.721701320049895, -122.50089691890456 37.72115753498559, -122.50069726125322 37.72084691406868, -122.50054725587037 37.72057405772597, -122.50040275070215 37.720144101324095, -122.50033008877918 37.71947609731121, -122.50032621329169 37.71905332807161, -122.50022095409246 37.71895555874156)",14103,11943201,SKYLINE BLVD,11943201,STREETS
"LINESTRING (-122.50304063635033 37.72525954982547, -122.50296805124934 37.725116811457156, -122.50297386997032 37.72489790648616, -122.50293859937446 37.724461711581775, -122.50287243452883 37.72410070786931, -122.50269953346643 37.723618320033026, -122.50250604614567 37.72324454740253, -122.50229086655847 37.722938342268975, -122.50159274834975 37.72216248252123, -122.50135067705855 37.72190526567521, -122.50072489628339 37.721195371611174, -122.50042539959908 37.72072633013735, -122.5002631286424 37.72028855819604, -122.50015027358019 37.719757069005226, -122.50014385291331 37.719056424679145, -122.50022095409246 37.71895555874156)",15020,11943101,SKYLINE BLVD,11943101,STREETS
"LINESTRING (-122.50250193854689 37.726645181320954, -122.50304063635033 37.72525954982547)",14056,11942000,SKYLINE BLVD,11942000,STREETS
"LINESTRING (-122.50177049906502 37.728394038127334, -122.50250193854689 37.726645181320954)",14055,11941000,SKYLINE BLVD,11941000,STREETS
"LINESTRING (-122.4990589766984 37.73157607004185, -122.49934453052875 37.73119877912153, -122.50089670036506 37.72968752701795, -122.50149280034782 37.728874627509086, -122.50177049906502 37.728394038127334)",427,11940000,SKYLINE BLVD,11940000,STREETS
