CNN,STREET,ST_TYPE,NHOOD,CNNTEXT,shape
4811101.0,DIVISADERO,ST,Anza Vista,4811101,"LINESTRING (-122.439285 37.782444, -122.439354 37.78252, -122.4395 37.783222, -122.43947 37.783302)"
4803101.0,DIVISADERO,ST,North Panhandle,4803101,"LINESTRING (-122.43778 37.774986, -122.43785 37.77506, -122.43801 37.77584, -122.43797 37.77592)"
4823000.0,DIVISADERO,ST,Pacific Heights,4823000,"LINESTRING (-122.441505 37.79343, -122.441696 37.79438)"
4821000.0,DIVISADERO,ST,Pacific Heights,4821000,"LINESTRING (-122.44114 37.791626, -122.44132 37.792507)"
4820000.0,DIVISADERO,ST,Pacific Heights,4820000,"LINESTRING (-122.44097 37.790752, -122.44114 37.791626)"
4809101.0,DIVISADERO,ST,Anza Vista,4809101,"LINESTRING (-122.43891 37.780582, -122.43898 37.780647, -122.43914 37.781445, -122.4391 37.781517)"
4802201.0,DIVISADERO,ST,Alamo Square,4802201,"LINESTRING (-122.4376 37.774055, -122.43757 37.774147, -122.43772 37.774914, -122.43778 37.774986)"
4801201.0,DIVISADERO,ST,Alamo Square,4801201,"LINESTRING (-122.43741 37.77313, -122.43738 37.773224, -122.43754 37.773983, -122.4376 37.774055)"
4808201.0,DIVISADERO,ST,Western Addition,4808201,"LINESTRING (-122.43873 37.779655, -122.43868 37.77974, -122.43884 37.780525, -122.43891 37.780582)"
4819000.0,DIVISADERO,ST,Pacific Heights,4819000,"LINESTRING (-122.440796 37.789867, -122.44097 37.790752)"
4818201.0,DIVISADERO,ST,Pacific Heights,4818201,"LINESTRING (-122.44061 37.78899, -122.44058 37.78907, -122.44073 37.789803, -122.440796 37.789867)"
4818101.0,DIVISADERO,ST,Pacific Heights,4818101,"LINESTRING (-122.44061 37.78899, -122.44067 37.789062, -122.44081 37.78979, -122.440796 37.789867)"
4817201.0,DIVISADERO,ST,Pacific Heights,4817201,"LINESTRING (-122.44043 37.788063, -122.44039 37.788147, -122.44055 37.788933, -122.44061 37.78899)"
4817101.0,DIVISADERO,ST,Pacific Heights,4817101,"LINESTRING (-122.44043 37.788063, -122.44049 37.788136, -122.44064 37.788918, -122.44061 37.78899)"
4816101.0,DIVISADERO,ST,Lower Pacfic Heights,4816101,"LINESTRING (-122.44024 37.78711, -122.4403 37.78718, -122.44046 37.787983, -122.44043 37.788063)"
4815201.0,DIVISADERO,ST,Lower Pacfic Heights,4815201,"LINESTRING (-122.44005 37.786175, -122.44002 37.786255, -122.44017 37.787033, -122.44024 37.78711)"
