CNN,STREET,ST_TYPE,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
209101,03RD,ST,LA SALLE AVE,MCKINNON AVE,25,,,,,,,,"MULTILINESTRING ((-122.389854 37.737164, -122.389824 37.737053, -122.39003 37.73646, -122.39013 37.736385))"
180000,03RD,ST,TOWNSEND ST,KING ST,25,,,,,,,,"MULTILINESTRING ((-122.39274 37.778847, -122.39183 37.778122))"
204201,03RD,ST,GALVEZ AVE,HUDSON AVE,25,,,,,,,,"MULTILINESTRING ((-122.388466 37.741104, -122.388565 37.741028, -122.38877 37.74044, -122.38874 37.74031))"
222201,03RD,ST,YOSEMITE AVE,ARMSTRONG AVE,25,,,,,,,,"MULTILINESTRING ((-122.39322 37.72773, -122.393326 37.727654, -122.39357 37.727116, -122.393555 37.726974))"
208201,03RD,ST,KIRKWOOD AVE,LA SALLE AVE,25,,,,,,,,"MULTILINESTRING ((-122.38957 37.73795, -122.38967 37.737877, -122.38988 37.737293, -122.389854 37.737164))"
162000,03RD,AVE,IRVING ST,PARNASSUS AVE,0,,,,,,,,"MULTILINESTRING ((-122.45988 37.764313, -122.45978 37.76292))"
221101,03RD,ST,LANE ST,YOSEMITE AVE,25,,,,,,,,"MULTILINESTRING ((-122.39288 37.728485, -122.39285 37.728382, -122.39311 37.727802, -122.39322 37.72773))"
161000,03RD,AVE,HUGO ST,IRVING ST,0,,,,,,,,"MULTILINESTRING ((-122.45994 37.76525, -122.45988 37.764313))"
160000,03RD,AVE,LINCOLN WAY,HUGO ST,0,,,,,,,,"MULTILINESTRING ((-122.46001 37.76616, -122.45994 37.76525))"
198101,03RD,ST,CARGO WAY,BURKE AVE,30,,,,,,,,"MULTILINESTRING ((-122.38716 37.74615, -122.38708 37.74594, -122.387024 37.74521, -122.387115 37.745064))"
171000,03RD,ST,SAINT FRANCIS PL,HARRISON ST,25,,,,,,,,"MULTILINESTRING ((-122.39793 37.782993, -122.39737 37.782547))"
191201,03RD,ST,22ND ST,23RD ST,30,,,,,,,,"MULTILINESTRING ((-122.388306 37.757935, -122.38837 37.757835, -122.388176 37.7566, -122.38808 37.755478, -122.387985 37.755386))"
157000,03RD,AVE,BALBOA ST,CABRILLO ST,0,,,,,,,,"MULTILINESTRING ((-122.460785 37.777374, -122.46065 37.775513))"
235000,03RD,ST,BAY SHORE BLVD,NELSON AVE,0,,,,,,,,"MULTILINESTRING ((-122.39842 37.717735, -122.398605 37.71756))"
158000,03RD,AVE,CABRILLO ST,FULTON ST,0,,,,,,,,"MULTILINESTRING ((-122.46065 37.775513, -122.46054 37.774025))"
186101,03RD,ST,16TH ST,MARIPOSA ST,30,,,,,,,,"MULTILINESTRING ((-122.3891 37.7669, -122.38903 37.766785, -122.388794 37.76441, -122.38885 37.764317))"
196000,03RD,ST,CESAR CHAVEZ ST,MARIN ST,30,,,,,,,,"MULTILINESTRING ((-122.38757 37.75026, -122.38744 37.749))"
228201,03RD,ST,GILMAN AVE,HOLLISTER AVE,25,,,,,,,,"MULTILINESTRING ((-122.39561 37.722427, -122.39573 37.72232, -122.395966 37.721813, -122.39593 37.72171))"
236000,03RD,ST,NELSON AVE,OLNEY AVE,0,,,,,,,,"MULTILINESTRING ((-122.398605 37.71756, -122.399155 37.716927))"
229201,03RD,ST,HOLLISTER AVE,INGERSON AVE,25,,,,,,,,"MULTILINESTRING ((-122.39593 37.72171, -122.396034 37.72163, -122.396286 37.721077, -122.39626 37.720978))"
232101,03RD,ST,KEY AVE,LE CONTE AVE,25,,,,,,,,"MULTILINESTRING ((-122.39694 37.71947, -122.39692 37.71931, -122.39734 37.71887, -122.39747 37.71883))"
201000,03RD,ST,DAVIDSON AVE,EVANS AVE,30,,,,,,,,"MULTILINESTRING ((-122.38762 37.743523, -122.38792 37.7427))"
206102,03RD,ST,NEWHALL ST,NEWHALL ST,30,,,,,,,,"MULTILINESTRING ((-122.3891 37.73911, -122.389206 37.738804, -122.3893 37.738735))"
200201,03RD,ST,CUSTER AVE,PHELPS ST,30,,,,,,,,"MULTILINESTRING ((-122.38736 37.744255, -122.38747 37.744144, -122.3875 37.744057))"
153000,03RD,AVE,CORNWALL ST,CLEMENT ST,0,,,,,,,,"MULTILINESTRING ((-122.46133 37.78495, -122.4612 37.78308))"
211201,03RD,ST,NEWCOMB AVE,OAKDALE AVE,25,,,,,,,,"MULTILINESTRING ((-122.3904 37.735584, -122.3905 37.735508, -122.3907 37.734943, -122.39068 37.73479))"
210101,03RD,ST,MCKINNON AVE,NEWCOMB AVE,25,,,,,,,,"MULTILINESTRING ((-122.39013 37.736385, -122.39011 37.73625, -122.390305 37.735664, -122.3904 37.735584))"
213201,03RD,ST,PALOU AVE,QUESADA AVE,25,,,,,,,,"MULTILINESTRING ((-122.39095 37.73401, -122.39105 37.73393, -122.39125 37.733364, -122.39123 37.73322))"
225201,03RD,ST,CARROLL AVE,EGBERT AVE,25,,,,,,,,"MULTILINESTRING ((-122.39423 37.72547, -122.39434 37.725403, -122.394936 37.72409, -122.39491 37.72397))"
200202,03RD,ST,PHELPS ST,DAVIDSON AVE,30,,,,,,,,"MULTILINESTRING ((-122.3875 37.744057, -122.38764 37.74364, -122.38762 37.743523))"
205201,03RD,ST,HUDSON AVE,INNES AVE,25,,,,,,,,"MULTILINESTRING ((-122.38874 37.74031, -122.38884 37.74024, -122.389046 37.739655, -122.389015 37.73953))"
208101,03RD,ST,KIRKWOOD AVE,LA SALLE AVE,25,,,,,,,,"MULTILINESTRING ((-122.38957 37.73795, -122.38955 37.73784, -122.38976 37.737232, -122.389854 37.737164))"
212101,03RD,ST,OAKDALE AVE,PALOU AVE,25,,,,,,,,"MULTILINESTRING ((-122.39068 37.73479, -122.39066 37.734653, -122.39086 37.734085, -122.39095 37.73401))"
219101,03RD,ST,UNDERWOOD AVE,WILLIAMS AVE,25,,,,,,,,"MULTILINESTRING ((-122.392334 37.73006, -122.39231 37.72994, -122.39252 37.729343, -122.39261 37.729275))"
195101,03RD,ST,26TH ST,CESAR CHAVEZ ST,30,,,,,,,,"MULTILINESTRING ((-122.38762 37.751556, -122.38755 37.75146, -122.387505 37.750374, -122.38757 37.75026))"
230201,03RD,ST,INGERSON AVE,SALINAS AVE,25,,,,,,,,"MULTILINESTRING ((-122.39626 37.720978, -122.39637 37.72091, -122.396454 37.720734))"
159000,03RD,AVE,LINCOLN WAY,LINCOLN WAY,0,,,,,,,,"MULTILINESTRING ((-122.459915 37.766342, -122.46001 37.76616))"
231101,03RD,ST,JAMESTOWN AVE,KEY AVE,25,,,,,,,,"MULTILINESTRING ((-122.39661 37.720226, -122.3966 37.72006, -122.39684 37.719524, -122.39694 37.71947))"
214201,03RD,ST,QUESADA AVE,REVERE AVE,25,,,,,,,,"MULTILINESTRING ((-122.39123 37.73322, -122.39133 37.73314, -122.391525 37.732574, -122.39151 37.732426))"
195201,03RD,ST,26TH ST,CESAR CHAVEZ ST,30,,,,,,,,"MULTILINESTRING ((-122.38762 37.751556, -122.38768 37.751453, -122.38764 37.750362, -122.38757 37.75026))"
197201,03RD,ST,MARIN ST,CARGO WAY,30,,,,,,,,"MULTILINESTRING ((-122.38744 37.749, -122.387505 37.74891, -122.38727 37.746326, -122.38716 37.74615))"
206101,03RD,ST,INNES AVE,NEWHALL ST,25,,,,,,,,"MULTILINESTRING ((-122.389015 37.73953, -122.38899 37.739414, -122.3891 37.73911))"
224101,03RD,ST,BANCROFT AVE,CARROLL AVE,25,,,,,,,,"MULTILINESTRING ((-122.39389 37.72623, -122.39388 37.726086, -122.39412 37.725548, -122.39423 37.72547))"
215101,03RD,ST,REVERE AVE,SHAFTER AVE,25,,,,,,,,"MULTILINESTRING ((-122.39151 37.732426, -122.3915 37.732258, -122.39168 37.731747, -122.391785 37.73164))"
