CNN,STREET,ST_TYPE,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
19713000,SPEAR,AVE,COCHRANE ST,HORNE AVE,0,,,,,,,,"MULTILINESTRING ((-122.367226 37.725548, -122.36643 37.72573))"
12045000,SPEAR,ST,MISSION ST,HOWARD ST,0,,,,,,,,"MULTILINESTRING ((-122.39404 37.792534, -122.39251 37.791306))"
19711000,SPEAR,AVE,H ST,HUSSEY ST,0,,,,,,,,"MULTILINESTRING ((-122.3699 37.724922, -122.36858 37.725227))"
19717000,SPEAR,AVE,C ST,UNNAMED #128,0,,,,,,,,"MULTILINESTRING ((-122.362854 37.726566, -122.36123 37.726955))"
19708000,SPEAR,AVE,J ST,06TH AVE,0,,,,,,,,"MULTILINESTRING ((-122.374756 37.72245, -122.37314 37.724113, -122.37106 37.72464))"
19714000,SPEAR,AVE,MORRELL ST,VAN KEUREN AVE,0,,,,,,,,"MULTILINESTRING ((-122.36594 37.725845, -122.364555 37.726162))"
12048000,SPEAR,ST,HARRISON ST,END: 400-499 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.38941 37.788834, -122.38826 37.787907))"
12044000,SPEAR,ST,MARKET ST,MISSION ST,0,,,,,,,,"MULTILINESTRING ((-122.39557 37.79375, -122.39404 37.792534))"
19718000,SPEAR,AVE,UNNAMED #128,LOCKWOOD ST,0,,,,,,,,"MULTILINESTRING ((-122.36123 37.726955, -122.36049 37.72713))"
19712000,SPEAR,AVE,HUSSEY ST,COCHRANE ST,0,,,,,,,,"MULTILINESTRING ((-122.36858 37.725227, -122.367226 37.725548))"
19716000,SPEAR,AVE,VAN KEUREN AVE,C ST,0,,,,,,,,"MULTILINESTRING ((-122.364555 37.726162, -122.362854 37.726566))"
19710000,SPEAR,AVE,CRISP RD,H ST,0,,,,,,,,"MULTILINESTRING ((-122.3702 37.724857, -122.3699 37.724922))"
19719000,SPEAR,AVE,LOCKWOOD ST,A ST,0,,,,,,,,"MULTILINESTRING ((-122.36049 37.72713, -122.358 37.727707))"
19715000,SPEAR,AVE,MORRELL ST,HORNE AVE,0,,,,,,,,"MULTILINESTRING ((-122.36594 37.725845, -122.36643 37.72573))"
12046000,SPEAR,ST,HOWARD ST,FOLSOM ST,0,,,,,,,,"MULTILINESTRING ((-122.39251 37.791306, -122.39096 37.790066))"
12049000,SPENCER,ALY,START: 1-99 BLOCK,16TH ST,0,,,,,,,,"MULTILINESTRING ((-122.4246 37.765175, -122.42456 37.76475))"
12050000,SPOFFORD,LN,CLAY ST,WASHINGTON ST,0,,,,,,,,"MULTILINESTRING ((-122.40728 37.794132, -122.40747 37.79501))"
12051000,SPRECKELS LAKE,DR,36TH AVE,30TH AVE,0,,,,,,,,"MULTILINESTRING ((-122.49568 37.77166, -122.4954 37.77167, -122.49496 37.771713, -122.49456 37.771763, -122.49439 37.771763, -122.49391 37.771694, -122.49365 37.771687, -122.49335 37.771755, -122.493 37.771793, -122.49278 37.771782, -122.49256 37.77174, -122.49235 37.77166, -122.492294 37.77155, -122.49223 37.771427, -122.49201 37.77136, -122.49174 37.771347, -122.49154 37.771362, -122.49129 37.771408, -122.49088 37.771515, -122.49056 37.771626, -122.48971 37.771957, -122.489555 37.771976))"
12052000,SPRING,ST,CALIFORNIA ST,SACRAMENTO ST,0,,,,,,,,"MULTILINESTRING ((-122.40382 37.792713, -122.404 37.79364))"
12053000,SPRINGFIELD,DR,SLOAT BLVD,EMERALD LN,0,,,,,,,,"MULTILINESTRING ((-122.48815 37.73407, -122.488106 37.73336))"
12055000,SPRINGFIELD,DR,OCEAN AVE,EUCALYPTUS DR,0,,,,,,,,"MULTILINESTRING ((-122.48802 37.732155, -122.48794 37.73097))"
12054000,SPRINGFIELD,DR,EMERALD LN,OCEAN AVE,0,,,,,,,,"MULTILINESTRING ((-122.488106 37.73336, -122.48802 37.732155))"
12056000,SPROULE,LN,SACRAMENTO ST,CLAY ST,0,,,,,,,,"MULTILINESTRING ((-122.41192 37.79264, -122.412094 37.793518))"
12059000,SPRUCE,ST,WASHINGTON ST,CLAY ST,0,,,,,,,,"MULTILINESTRING ((-122.45393 37.789093, -122.45376 37.788223))"
12062000,SPRUCE,ST,CALIFORNIA ST,MAYFAIR DR,0,,,,,,,,"MULTILINESTRING ((-122.45339 37.78641, -122.45324 37.785717))"
12063000,SPRUCE,ST,MAYFAIR DR,EUCLID AVE,0,,,,,,,,"MULTILINESTRING ((-122.45324 37.785717, -122.45357 37.785675, -122.4537 37.785587, -122.453735 37.78543, -122.45372 37.78491, -122.45364 37.78405))"
12064000,SPRUCE,ST,EUCLID AVE,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.45364 37.78405, -122.45355 37.783623, -122.453156 37.78171))"
12060000,SPRUCE,ST,CLAY ST,SACRAMENTO ST,0,,,,,,,,"MULTILINESTRING ((-122.45376 37.788223, -122.45358 37.78734))"
12061000,SPRUCE,ST,SACRAMENTO ST,CALIFORNIA ST,0,,,,,,,,"MULTILINESTRING ((-122.45358 37.78734, -122.45339 37.78641))"
12057000,SPRUCE,ST,PACIFIC AVE,JACKSON ST,0,,,,,,,,"MULTILINESTRING ((-122.45423 37.790558, -122.45411 37.789974))"
12058000,SPRUCE,ST,JACKSON ST,WASHINGTON ST,0,,,,,,,,"MULTILINESTRING ((-122.45411 37.789974, -122.45393 37.789093))"
12065000,SPRUCE,ST,GEARY BLVD,ANZA ST,0,,,,,,,,"MULTILINESTRING ((-122.453156 37.78171, -122.45288 37.780357))"
12067000,STANDISH,AVE,SAN JOSE AVE,OLORAN AVE,0,,,,,,,,"MULTILINESTRING ((-122.43884 37.729664, -122.43932 37.730152))"
12068000,STANFORD,ST,BRANNAN ST,TOWNSEND ST,0,,,,,,,,"MULTILINESTRING ((-122.3926 37.781418, -122.39105 37.780178))"
12071000,STANFORD HEIGHTS,AVE,LOS PALMOS DR,END: 100-199 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.44998 37.735836, -122.44996 37.735916, -122.44999 37.73625, -122.44994 37.73634, -122.44935 37.736626, -122.44932 37.73668))"
12070000,STANFORD HEIGHTS,AVE,LOS PALMOS DR,BELLA VISTA WAY,0,,,,,,,,"MULTILINESTRING ((-122.44998 37.735836, -122.449844 37.73447, -122.44986 37.734356, -122.44991 37.734207, -122.450066 37.734028))"
12069000,STANFORD HEIGHTS,AVE,MELROSE AVE,BELLA VISTA WAY,0,,,,,,,,"MULTILINESTRING ((-122.45043 37.7338, -122.45017 37.73395, -122.450066 37.734028))"
12073000,STANLEY,ST,START: 100-199 BLOCK,HEAD ST,0,,,,,,,,"MULTILINESTRING ((-122.4638 37.712494, -122.46437 37.71249))"
12074000,STANLEY,ST,HEAD ST,END: 200-299 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.46437 37.71249, -122.46475 37.71249))"
12072000,STANLEY,ST,ORIZABA AVE,BRIGHT ST,0,,,,,,,,"MULTILINESTRING ((-122.46257 37.712517, -122.46346 37.71251))"
12075000,STANTON,ST,START: 1-29 BLOCK,MARKET ST,0,,,,,,,,"MULTILINESTRING ((-122.44161 37.75816, -122.44152 37.75784, -122.44155 37.757545, -122.44167 37.757034, -122.44223 37.75675))"
12082000,STANYAN,ST,MCALLISTER ST,MCALLISTER ST,25,,,,,,,,"MULTILINESTRING ((-122.454834 37.77568, -122.45475 37.77552))"
12079000,STANYAN,ST,TURK BLVD,GOLDEN GATE AVE,25,,,,,,,,"MULTILINESTRING ((-122.4552 37.777596, -122.45521 37.77749, -122.45511 37.77702))"
12101000,STANYAN,ST,BELGRAVE AVE,CLARENDON AVE,0,,,,,,,,"MULTILINESTRING ((-122.45154 37.759468, -122.451355 37.75857))"
12087000,STANYAN,ST,GGP ACCESS ROAD,FELL ST,25,,,,,,,,"MULTILINESTRING ((-122.454 37.77161, -122.453964 37.771423))"
12102000,STANYAN,ST,CLARENDON AVE,MOUNTAIN SPRING AVE,0,,,,,,,,"MULTILINESTRING ((-122.451355 37.75857, -122.451256 37.75808))"
12080000,STANYAN,ST,GOLDEN GATE AVE,PARAMOUNT TER,25,,,,,,,,"MULTILINESTRING ((-122.45511 37.77702, -122.45496 37.776318))"
12081000,STANYAN,ST,PARAMOUNT TER,MCALLISTER ST,25,,,,,,,,"MULTILINESTRING ((-122.45496 37.776318, -122.454834 37.77568))"
12083000,STANYAN,ST,MCALLISTER ST,FULTON ST,25,,,,,,,,"MULTILINESTRING ((-122.45475 37.77552, -122.45465 37.77496, -122.454666 37.77475))"
12077000,STANYAN,ST,ANZA ST,LONE MOUNTAIN TER,25,,,,,,,,"MULTILINESTRING ((-122.45583 37.779938, -122.45567 37.77972, -122.45556 37.779472, -122.45543 37.778824))"
12094000,STANYAN,ST,FREDERICK ST,CARL ST,25,,,,,,,,"MULTILINESTRING ((-122.452934 37.76637, -122.45274 37.765438))"
12093000,STANYAN,ST,BEULAH ST,FREDERICK ST,25,,,,,,,,"MULTILINESTRING ((-122.45315 37.767303, -122.45298 37.76647, -122.452934 37.76637))"
12099000,STANYAN,ST,RIVOLI ST,17TH ST,25,,,,,,,,"MULTILINESTRING ((-122.45208 37.76216, -122.45194 37.761475))"
12100000,STANYAN,ST,17TH ST,BELGRAVE AVE,0,,,,,,,,"MULTILINESTRING ((-122.45194 37.761475, -122.45154 37.759468))"
12084000,STANYAN,ST,FULTON ST,HAYES ST,25,,,,,,,,"MULTILINESTRING ((-122.454666 37.77475, -122.45463 37.774643, -122.45427 37.772892))"
12095000,STANYAN,ST,CARL ST,PARNASSUS AVE,25,,,,,,,,"MULTILINESTRING ((-122.45274 37.765438, -122.45255 37.764503))"
12086000,STANYAN,ST,FELL ST,GGP ACCESS ROAD,25,,,,,,,,"MULTILINESTRING ((-122.45407 37.771927, -122.454 37.77161))"
12078000,STANYAN,ST,LONE MOUNTAIN TER,TURK BLVD,25,,,,,,,,"MULTILINESTRING ((-122.45543 37.778824, -122.4552 37.7777, -122.4552 37.777596))"
12090000,STANYAN,ST,PAGE ST,HAIGHT ST,25,,,,,,,,"MULTILINESTRING ((-122.45371 37.770092, -122.45352 37.76916))"
12092000,STANYAN,ST,WALLER ST,BEULAH ST,25,,,,,,,,"MULTILINESTRING ((-122.45334 37.76824, -122.45315 37.767303))"
12091000,STANYAN,ST,HAIGHT ST,WALLER ST,25,,,,,,,,"MULTILINESTRING ((-122.45352 37.76916, -122.45334 37.76824))"
12088000,STANYAN,ST,FELL ST,OAK ST,25,,,,,,,,"MULTILINESTRING ((-122.453964 37.771423, -122.45389 37.77105))"
12097000,STANYAN,ST,GRATTAN ST,ALMA ST,25,,,,,,,,"MULTILINESTRING ((-122.452385 37.763664, -122.45222 37.762836))"
12089000,STANYAN,ST,OAK ST,PAGE ST,25,,,,,,,,"MULTILINESTRING ((-122.45389 37.77105, -122.45371 37.770092))"
12098000,STANYAN,ST,ALMA ST,RIVOLI ST,25,,,,,,,,"MULTILINESTRING ((-122.45222 37.762836, -122.45208 37.76216))"
12096000,STANYAN,ST,PARNASSUS AVE,GRATTAN ST,25,,,,,,,,"MULTILINESTRING ((-122.45255 37.764503, -122.452385 37.763664))"
12085000,STANYAN,ST,HAYES ST,FELL ST,25,,,,,,,,"MULTILINESTRING ((-122.45427 37.772892, -122.45407 37.771927))"
12076000,STANYAN,ST,GEARY BLVD,ANZA ST,25,,,,,,,,"MULTILINESTRING ((-122.45628 37.781376, -122.45606 37.780266, -122.45597 37.78009, -122.45583 37.779938))"
12104000,STAPLES,AVE,DETROIT ST,EDNA ST,0,,,,,,,,"MULTILINESTRING ((-122.44427 37.729088, -122.44655 37.729076))"
12108000,STAPLES,AVE,PHELAN AVE,HAZELWOOD AVE,0,,,,,,,,"MULTILINESTRING ((-122.45242 37.729053, -122.452515 37.72908, -122.4528 37.72908, -122.45325 37.729122, -122.45369 37.729164, -122.45399 37.72916))"
12106000,STAPLES,AVE,FOERSTER ST,GENNESSEE ST,0,,,,,,,,"MULTILINESTRING ((-122.44884 37.72907, -122.45112 37.729057))"
12103000,STAPLES,AVE,CIRCULAR AVE,DETROIT ST,0,,,,,,,,"MULTILINESTRING ((-122.44258 37.729095, -122.44427 37.729088))"
12107000,STAPLES,AVE,GENNESSEE ST,PHELAN AVE,0,,,,,,,,"MULTILINESTRING ((-122.45112 37.729057, -122.45242 37.729053))"
12105000,STAPLES,AVE,EDNA ST,FOERSTER ST,0,,,,,,,,"MULTILINESTRING ((-122.44655 37.729076, -122.44884 37.72907))"
12109000,STARK,ST,START: 1-99 BLOCK,STOCKTON ST,0,,,,,,,,"MULTILINESTRING ((-122.40796 37.797394, -122.40855 37.79732))"
12110000,STARR KING,WAY,FRANKLIN ST,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.42283 37.784542, -122.42303 37.78455, -122.42331 37.78461, -122.4236 37.784763, -122.42373 37.784878, -122.42386 37.784996, -122.42416 37.785187, -122.42452 37.785267, -122.424675 37.785328))"
12111000,STARVIEW,WAY,DELLBROOK AVE,PANORAMA DR,0,,,,,,,,"MULTILINESTRING ((-122.453064 37.74934, -122.452194 37.74934, -122.45211 37.749348))"
12113000,STARVIEW,WAY,OLYMPIA WAY,PANORAMA DR,0,,,,,,,,"MULTILINESTRING ((-122.45158 37.75124, -122.45157 37.751602, -122.451485 37.751938, -122.45153 37.752144, -122.451675 37.752293))"
12112000,STARVIEW,WAY,PANORAMA DR,OLYMPIA WAY,0,,,,,,,,"MULTILINESTRING ((-122.45211 37.749348, -122.45187 37.74945, -122.45171 37.749573, -122.45161 37.749752, -122.45158 37.749966, -122.45158 37.75124))"
12940000,STATE,DR,LAKE MERCED BLVD,END: 0-0 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.48462 37.724884, -122.48189 37.72409))"
12114000,STATE,DR,LAKE MERCED BLVD,END: 1-99 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.48387 37.72667, -122.48348 37.726578, -122.482994 37.726364, -122.48195 37.725906, -122.48138 37.725662, -122.48113 37.72554, -122.48091 37.72538))"
12115000,STATES,ST,CASTRO ST,LEVANT ST,0,,,,,,,,"MULTILINESTRING ((-122.43524 37.76346, -122.43803 37.76329, -122.43914 37.763477, -122.44217 37.764996, -122.44231 37.765))"
12133000,STEINER,ST,O'FARRELL ST,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.43433 37.783077, -122.43455 37.784145))"
12140000,STEINER,ST,CALIFORNIA ST,PERINE PL,0,,,,,,,,"MULTILINESTRING ((-122.43547 37.788692, -122.43557 37.789165))"
12121000,STEINER,ST,HAIGHT ST,PAGE ST,0,,,,,,,,"MULTILINESTRING ((-122.432076 37.771893, -122.43227 37.772823))"
12122000,STEINER,ST,PAGE ST,OAK ST,0,,,,,,,,"MULTILINESTRING ((-122.43227 37.772823, -122.43246 37.77375))"
12120000,STEINER,ST,LAUSSAT ST,HAIGHT ST,0,,,,,,,,"MULTILINESTRING ((-122.431984 37.771427, -122.432076 37.771893))"
12124000,STEINER,ST,FELL ST,HAYES ST,0,,,,,,,,"MULTILINESTRING ((-122.43263 37.77469, -122.43265 37.774796, -122.432816 37.77562))"
12119000,STEINER,ST,WALLER ST,LAUSSAT ST,0,,,,,,,,"MULTILINESTRING ((-122.43189 37.770958, -122.431984 37.771427))"
12117000,STEINER,ST,HERMANN ST,GERMANIA ST,0,,,,,,,,"MULTILINESTRING ((-122.4317 37.77003, -122.4318 37.770496))"
12143000,STEINER,ST,CLAY ST,WASHINGTON ST,0,,,,,,,,"MULTILINESTRING ((-122.43584 37.790497, -122.43601 37.791378))"
12125000,STEINER,ST,HAYES ST,GROVE ST,0,,,,,,,,"MULTILINESTRING ((-122.432816 37.77562, -122.432846 37.775715, -122.433014 37.776546))"
12126000,STEINER,ST,GROVE ST,FULTON ST,0,,,,,,,,"MULTILINESTRING ((-122.433014 37.776546, -122.433205 37.777485))"
12127000,STEINER,ST,FULTON ST,MCALLISTER ST,0,,,,,,,,"MULTILINESTRING ((-122.433205 37.777485, -122.433395 37.778416))"
12129000,STEINER,ST,GOLDEN GATE AVE,TURK ST,0,,,,,,,,"MULTILINESTRING ((-122.433586 37.77935, -122.43377 37.78028))"
12154000,STEINER,ST,SERVICE ST,MOULTON ST,0,,,,,,,,"MULTILINESTRING ((-122.43758 37.799118, -122.4376 37.799206))"
12123000,STEINER,ST,OAK ST,FELL ST,0,,,,,,,,"MULTILINESTRING ((-122.43246 37.77375, -122.43262 37.774582, -122.43263 37.77469))"
12152000,STEINER,ST,PIXLEY ST,GREENWICH ST,0,,,,,,,,"MULTILINESTRING ((-122.43741 37.79827, -122.4375 37.798737))"
12131000,STEINER,ST,EDDY ST,ELLIS ST,0,,,,,,,,"MULTILINESTRING ((-122.43396 37.781216, -122.43415 37.782146))"
12151000,STEINER,ST,FILBERT ST,PIXLEY ST,0,,,,,,,,"MULTILINESTRING ((-122.43731 37.797806, -122.43741 37.79827))"
12132000,STEINER,ST,ELLIS ST,O'FARRELL ST,0,,,,,,,,"MULTILINESTRING ((-122.43415 37.782146, -122.43433 37.783077))"
12150000,STEINER,ST,UNION ST,FILBERT ST,0,,,,,,,,"MULTILINESTRING ((-122.437126 37.796875, -122.43731 37.797806))"
12149000,STEINER,ST,GREEN ST,UNION ST,0,,,,,,,,"MULTILINESTRING ((-122.436935 37.795944, -122.437126 37.796875))"
12130000,STEINER,ST,TURK ST,EDDY ST,0,,,,,,,,"MULTILINESTRING ((-122.43377 37.78028, -122.43396 37.781216))"
12148000,STEINER,ST,VALLEJO ST,GREEN ST,0,,,,,,,,"MULTILINESTRING ((-122.436745 37.79501, -122.436935 37.795944))"
12147000,STEINER,ST,BROADWAY,VALLEJO ST,0,,,,,,,,"MULTILINESTRING ((-122.436554 37.794052, -122.436745 37.79501))"
12146000,STEINER,ST,PACIFIC AVE,BROADWAY,0,,,,,,,,"MULTILINESTRING ((-122.43637 37.793133, -122.436554 37.794052))"
12145000,STEINER,ST,JACKSON ST,PACIFIC AVE,0,,,,,,,,"MULTILINESTRING ((-122.43619 37.79226, -122.43637 37.793133))"
12156000,STEINER,ST,LOMBARD ST,CHESTNUT ST,0,,,,,,,,"MULTILINESTRING ((-122.43768 37.79963, -122.437874 37.800602))"
12137000,STEINER,ST,BUSH ST,WILMOT ST,0,,,,,,,,"MULTILINESTRING ((-122.43509 37.786804, -122.43519 37.78727))"
12128000,STEINER,ST,MCALLISTER ST,GOLDEN GATE AVE,0,,,,,,,,"MULTILINESTRING ((-122.433395 37.778416, -122.433586 37.77935))"
12139000,STEINER,ST,PINE ST,CALIFORNIA ST,0,,,,,,,,"MULTILINESTRING ((-122.43528 37.787735, -122.43547 37.788692))"
12141000,STEINER,ST,PERINE PL,SACRAMENTO ST,0,,,,,,,,"MULTILINESTRING ((-122.43557 37.789165, -122.43566 37.789623))"
12118000,STEINER,ST,GERMANIA ST,WALLER ST,0,,,,,,,,"MULTILINESTRING ((-122.4318 37.770496, -122.43189 37.770958))"
12155000,STEINER,ST,MOULTON ST,LOMBARD ST,0,,,,,,,,"MULTILINESTRING ((-122.4376 37.799206, -122.43768 37.79963))"
12135000,STEINER,ST,POST ST,SUTTER ST,0,,,,,,,,"MULTILINESTRING ((-122.434715 37.78494, -122.434906 37.78587))"
12153000,STEINER,ST,GREENWICH ST,SERVICE ST,0,,,,,,,,"MULTILINESTRING ((-122.4375 37.798737, -122.43758 37.799118))"
12116000,STEINER,ST,DUBOCE AVE,HERMANN ST,0,,,,,,,,"MULTILINESTRING ((-122.43156 37.769302, -122.43158 37.769424, -122.4317 37.77003))"
12136000,STEINER,ST,SUTTER ST,BUSH ST,0,,,,,,,,"MULTILINESTRING ((-122.434906 37.78587, -122.43509 37.786804))"
12134000,STEINER,ST,GEARY BLVD,POST ST,0,,,,,,,,"MULTILINESTRING ((-122.43455 37.784145, -122.434715 37.78494))"
12144000,STEINER,ST,WASHINGTON ST,JACKSON ST,0,,,,,,,,"MULTILINESTRING ((-122.43601 37.791378, -122.43619 37.79226))"
12138000,STEINER,ST,WILMOT ST,PINE ST,0,,,,,,,,"MULTILINESTRING ((-122.43519 37.78727, -122.43528 37.787735))"
12142000,STEINER,ST,SACRAMENTO ST,CLAY ST,0,,,,,,,,"MULTILINESTRING ((-122.43566 37.789623, -122.43584 37.790497))"
12157000,STERLING,ST,BRYANT ST,I-80 E ON RAMP,0,,,,,,,,"MULTILINESTRING ((-122.39283 37.783688, -122.39346 37.784195))"
19720000,STERNBERG,RD,EDIE RD,GORGAS AVE,0,,,,,,,,"MULTILINESTRING ((-122.449585 37.80082, -122.4495 37.800846, -122.44929 37.801273))"
12159000,STEUART,ST,MISSION ST,HOWARD ST,0,,,,,,,,"MULTILINESTRING ((-122.393166 37.793224, -122.39163 37.792))"
12158000,STEUART,ST,MARKET ST,MISSION ST,0,,,,,,,,"MULTILINESTRING ((-122.39474 37.794476, -122.393166 37.793224))"
12160001,STEUART,ST,HOWARD ST,END: 200-249 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.39163 37.792, -122.39117 37.791622))"
12162000,STEUBEN,ST,DICKINSON ST,AUGUSTA ST,0,,,,,,,,"MULTILINESTRING ((-122.40649 37.73523, -122.40642 37.734222))"
12163000,STEVELOE,PL,JONES ST,END: 1-99 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.412865 37.785347, -122.412285 37.785423))"
12168000,STEVENSON,ST,03RD ST,END: 200-249 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.403015 37.787018, -122.40391 37.78631))"
12174000,STEVENSON,ST,START: 800-899 BLOCK,10TH ST,0,,,,,,,,"MULTILINESTRING ((-122.416245 37.776596, -122.4169 37.77607))"
12176000,STEVENSON,ST,BRADY ST,GOUGH ST,0,,,,,,,,"MULTILINESTRING ((-122.42076 37.77316, -122.421425 37.772633))"
12177000,STEVENSON,ST,GOUGH ST,END: 1266-1299 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.421425 37.772633, -122.421684 37.772396))"
12166000,STEVENSON,ST,02ND ST,NEW MONTGOMERY ST,0,,,,,,,,"MULTILINESTRING ((-122.4008 37.78881, -122.4015 37.788265))"
12171000,STEVENSON,ST,06TH ST,07TH ST,0,,,,,,,,"MULTILINESTRING ((-122.40968 37.78175, -122.4098 37.781685, -122.41192 37.780003))"
12178000,STEVENSON,ST,MCCOPPIN ST,DUBOCE AVE,0,,,,,,,,"MULTILINESTRING ((-122.42174 37.771637, -122.42157 37.769913))"
12179000,STEVENSON,ST,CLINTON PARK,14TH ST,0,,,,,,,,"MULTILINESTRING ((-122.421455 37.769333, -122.42135 37.768185))"
12167000,STEVENSON,ST,ANNIE ST,03RD ST,0,,,,,,,,"MULTILINESTRING ((-122.402275 37.787613, -122.403015 37.787018))"
12175000,STEVENSON,ST,12TH ST,END: 1100-1199 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.41965 37.773888, -122.42011 37.773525))"
12165000,STEVENSON,ST,ECKER ST,02ND ST,0,,,,,,,,"MULTILINESTRING ((-122.39934 37.789967, -122.4008 37.78881))"
12172000,STEVENSON,ST,07TH ST,END: 600-699 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.41192 37.780003, -122.41323 37.778957))"
12164000,STEVENSON,ST,01ST ST,ECKER ST,0,,,,,,,,"MULTILINESTRING ((-122.398575 37.790565, -122.39934 37.789967))"
12170000,STEVENSON,ST,05TH ST,06TH ST,0,,,,,,,,"MULTILINESTRING ((-122.40747 37.783524, -122.40968 37.78175))"
12169000,STEVENSON,ST,START: 250-299 BLOCK,04TH ST,0,,,,,,,,"MULTILINESTRING ((-122.40477 37.785625, -122.40522 37.78526))"
12173000,STEVENSON,ST,START: 700-709 BLOCK,08TH ST,0,,,,,,,,"MULTILINESTRING ((-122.41451 37.777935, -122.41413 37.778236))"
12181000,STILL,ST,ROTTECK ST,LYELL ST,0,,,,,,,,"MULTILINESTRING ((-122.43083 37.73181, -122.4312 37.731785, -122.43137 37.73173))"
12185000,STILL,ST,LAMARTINE ST,BADGER ST,0,,,,,,,,"MULTILINESTRING ((-122.433365 37.73133, -122.433426 37.731266, -122.43412 37.731087))"
12186000,STILL,ST,BADGER ST,GORHAM ST,0,,,,,,,,"MULTILINESTRING ((-122.43417 37.731216, -122.43456 37.73107, -122.43483 37.730907))"
12184000,STILL,ST,DANTON ST,LAMARTINE ST,0,,,,,,,,"MULTILINESTRING ((-122.43255 37.731556, -122.433365 37.73133))"
12180000,STILL,ST,ROUSSEAU ST,ROTTECK ST,0,,,,,,,,"MULTILINESTRING ((-122.42995 37.731865, -122.43083 37.73181))"
12183000,STILL,ST,BOSWORTH ST,DANTON ST,0,,,,,,,,"MULTILINESTRING ((-122.43167 37.731647, -122.431755 37.73174, -122.432 37.731674, -122.4323 37.731663, -122.43248 37.73161, -122.43255 37.731556))"
12182000,STILL,ST,LYELL ST,BOSWORTH ST,0,,,,,,,,"MULTILINESTRING ((-122.43137 37.73173, -122.43167 37.731647))"
12188000,STILLINGS,AVE,NORDHOFF ST,CONGO ST,0,,,,,,,,"MULTILINESTRING ((-122.441185 37.73441, -122.44199 37.734398))"
12187000,STILLINGS,AVE,MARTHA AVE,NORDHOFF ST,0,,,,,,,,"MULTILINESTRING ((-122.44074 37.734383, -122.441185 37.73441))"
12189000,STILLINGS,AVE,CONGO ST,MALTA DR,0,,,,,,,,"MULTILINESTRING ((-122.44199 37.734398, -122.44207 37.734425, -122.44233 37.734444, -122.44244 37.734497, -122.44259 37.734543, -122.442726 37.73456, -122.442955 37.73456))"
12190000,STILLINGS,AVE,MALTA DR,DETROIT ST,0,,,,,,,,"MULTILINESTRING ((-122.442955 37.73456, -122.44432 37.734554))"
12191000,STILLINGS,AVE,DETROIT ST,TERESITA BLVD,0,,,,,,,,"MULTILINESTRING ((-122.44432 37.734554, -122.44534 37.734543))"
12192000,STILLMAN,ST,04TH ST,03RD ST,0,,,,,,,,"MULTILINESTRING ((-122.39859 37.779976, -122.39637 37.781746))"
12193000,STILLMAN,ST,02ND ST,03RD ST,0,,,,,,,,"MULTILINESTRING ((-122.394135 37.783497, -122.39637 37.781746))"
19726000,STILWELL,RD,YOUNG CT,PERSHING DR,0,,,,,,,,"MULTILINESTRING ((-122.47886 37.7922, -122.47884 37.792015, -122.478874 37.79187, -122.47895 37.791637))"
19721000,STILWELL,RD,LINCOLN BLVD,BLATCHFORD LN,0,,,,,,,,"MULTILINESTRING ((-122.48069 37.793385, -122.480354 37.793255))"
19724000,STILWELL,RD,WOOL CT,MCNAIR CT,0,,,,,,,,"MULTILINESTRING ((-122.47924 37.792877, -122.4791 37.792767, -122.47897 37.792614))"
19723000,STILWELL,RD,WALKER CT,WOOL CT,0,,,,,,,,"MULTILINESTRING ((-122.47972 37.793137, -122.47947 37.793026, -122.47924 37.792877))"
19725000,STILWELL,RD,MCNAIR CT,YOUNG CT,0,,,,,,,,"MULTILINESTRING ((-122.47897 37.792614, -122.47891 37.79248, -122.47887 37.79229, -122.47886 37.7922))"
19722000,STILWELL,RD,BLATCHFORD LN,WALKER CT,0,,,,,,,,"MULTILINESTRING ((-122.480354 37.793255, -122.48011 37.793194, -122.479935 37.79319, -122.47972 37.793137))"
12212000,STOCKTON,ST,CARD ALY,GREEN ST,0,,,,,,,,"MULTILINESTRING ((-122.4089 37.79903, -122.409004 37.799484))"
12216000,STOCKTON,ST,GREENWICH ST,LOMBARD ST,0,,,,,,,,"MULTILINESTRING ((-122.409546 37.802296, -122.40974 37.80323))"
12220000,STOCKTON,ST,PFEIFFER ST,FRANCISCO ST,0,,,,,,,,"MULTILINESTRING ((-122.41002 37.804626, -122.41011 37.80509))"
